emplacement,address,fast_charger,slow_charger,Support_car_type,latitude,longitude
부산도시재생지원센터 비콘그라운드,부산광역시 수영구 망미동 603-2,1,0,"SM3 Z.E,테슬라",35.17221651,129.1092794
태안보건의료원,충청남도 태안군 태안읍 남문리 90,2,0,"SM3 Z.E,테슬라",36.74543614,126.2982978
신도10차파크힐타운아파트,경기도 의정부시 용현동 290-1,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.73932795,127.0812555
가천대 글로벌캠퍼스,경기도 성남시 수정구 복정동 620-2,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.45102738,127.1294036
일성한솔타운,경상남도 통영시 무전동 994-12,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",34.85736456,128.4315841
중앙하이츠빌 아파트,충청남도 서산시 석림동 416-1,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.76719512,126.4678129
용상6주공본가타운,경상북도 안동시 경동로 977-5,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.55418417,128.7613282
영동군 농업기술센터,충청북도 영동군 영동읍 부용리 610,1,0,"SM3 Z.E,테슬라",36.16341348,127.7590233
장암주공5단지,경기도 의정부시 신곡동 725-3,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.72742078,127.0580064
통영전력지사,경상남도 통영시 정량동 271-1,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",34.84812448,128.4325742
보람동행정복지센터,세종특별자치시 보람동 631-4,1,0,"SM3 Z.E,테슬라",36.47929891,127.292298
서수원지사,경기도 수원시 권선구 탑동 908,2,4,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.25814767,126.9692066
현대성우오스타1단지,경상남도 통영시 광도면 안정리 1075,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",34.94569376,128.4110057
설봉공원주차장,경기도 이천시 관고동 356,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.27900937,127.4277683
당산대우 아파트,서울특별시 영등포구 당산동2가 16-1,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.52116859,126.8930172
현진에버빌3차 아파트,경상북도 안동시 강남1길 98-23,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.54755541,128.731118
서귀포개인택시조합,제주특별자치도 서귀포시 토평동 1379,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",33.26944566,126.5928661
산내마을 3단지,경기도 파주시 목동동 911,0,8,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.72783779,126.7313925
위례자연앤센트럴자이 아파트,경기도 성남시 수정구 창곡동 504,0,10,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.4727679,127.1392401
동산라인아파트,전라북도 익산시 금강동 923,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",35.93023085,126.9720846
파주힐스테이트2차,경기도 파주시 문산읍 당동리 940,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.86372298,126.7720085
